Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,147,0.25,1.73,2.15,1.8,0.88
2023-08-16,145,0.25,1.5,2.14,1.86,0.9
2023-08-17,145,0.1,1.47,2.07,1.7,1.17
2023-08-18,143,0.1,1.44,2.08,1.51,1.9
2023-08-19,149,0.1,1.44,2.08,1.51,1.9
2023-08-21,154,0.1,1.44,2.08,1.51,1.9
