Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,312,2.4,5.59,4.28,5.65,3.6
2023-08-16,314,2.4,5.85,4.39,6.38,8.0
2023-08-17,314,2.4,5.85,4.39,6.38,8.0
2023-08-18,307,2.4,5.85,4.39,6.38,8.0
2023-08-19,306,2.45,5.71,4.44,5.75,5.0
2023-08-21,292,2.45,6.15,4.27,5.19,3.48
