Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,165,3.0,23.12,18.85,20.64,32.5
2023-08-16,165,3.0,20.57,18.93,19.36,5.0
2023-08-17,168,3.0,20.57,18.93,19.36,5.0
2023-08-18,168,3.0,20.57,18.93,19.36,5.0
2023-08-19,172,3.0,20.57,18.93,19.36,5.0
2023-08-21,168,3.0,20.57,18.93,19.36,5.0
