Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,139,2.49,7.2,10.7,6.42,12.0
2023-08-16,139,2.49,7.2,10.7,6.42,12.0
2023-08-17,140,2.49,7.2,10.7,6.42,12.0
2023-08-18,137,2.49,7.2,10.7,6.42,12.0
2023-08-19,137,2.49,8.21,10.5,7.32,14.6
2023-08-21,135,2.49,7.55,10.26,7.3,4.95
