Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,160,0.2,1.78,1.69,1.74,1.25
2023-08-16,158,0.2,1.66,1.69,1.65,1.0
2023-08-17,162,0.2,1.66,1.69,1.65,1.0
2023-08-18,162,0.2,1.57,1.68,1.41,1.0
