Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,145,0.15,0.96,1.11,0.47,0.19
2023-08-16,145,0.15,0.96,1.11,0.47,0.19
2023-08-17,145,0.15,0.96,1.11,0.47,0.19
2023-08-18,145,0.15,0.96,1.11,0.47,0.19
