Date,Amount available,From price,Trend price,30-days average price,7-days average price,1-day average price
2023-08-15,489,0.85,2.12,2.23,2.11,1.95
2023-08-16,491,0.85,2.11,2.23,2.1,2.19
2023-08-17,491,0.85,2.08,2.24,2.09,2.15
2023-08-18,491,0.85,2.07,2.25,2.03,2.24
